question,category,source
"This is a multi-stakeholder process, rooted in a shared vision and what?",6,bio
"agriculture is best served by high precision climate projections for the next 3–5 years, the time it takes to plan for and plant what?",6,bio
Increasing connectivity is the most cited design principle for adapting to what?,6,bio
How many people went on this walking tour to learn about the Millers’ forest operations?,6,bio
Who often operate from an assumption of an adversarial relationship?,6,bio
"Who emphasized collective impact and collaboratively working across geographic and political boundaries, which typically achieves greater conservation outcomes than organizations operating independently?",6,bio
"The eastern edge of the region is determined by the Bonneville Dam, the upstream limit of tidal influence on the Columbia River, and direct ocean-draining what?",6,bio
we propose to comprehensively articulate human well-being targets and expand on the suite of ecosystem services provided by what?,6,bio
What contribute to the health of the community and its way of life with the ecosystem services it provides?,6,bio
"Who combines an academic background, education interests, and practical experience to manage a 3rd generation tree farm?",6,bio
Who shared the goals and values of small agricultural landowners in the region?,6,bio
This report provides an assessment of tools available to support the LCD process in what ecoregions?,6,bio
What does the LCD website provide a portal to?,6,bio
This is designed to be what?,6,bio
What is difficult when entities are fighting over small-scale issues?,6,bio
"Within this document, 7 ecological systems are identified as common conservation targets among the entities engaged in what?",6,bio
The Pacific Northwest coast is a diverse mix of ecosystem types with a complex set of what?,6,bio
"it is important to organize an effective infrastructure that honors existing studies, plans, science, and implementation efforts already underway yet also encourages stakeholders to work together on a common agenda, strategic action framework, and what?",6,bio
We consider diversity through the lens of coarse and fine filter what?,6,bio
Who pointed to signs of tremendous opportunity in Southwest Washington?,6,bio
There is no integrated “one stop” for information on what?,6,bio
Who showed a series of satellite images illustrating 40 years of landscape change in Southwest Washington?,6,bio
"Three central ecological concepts will be a focus for this project; diversity, connectivity, and what?",6,bio
One outcome of this delineation is that the study area bisects what?,6,bio
Understanding landscape condition is critical to inform landscape-scale strategies and approaches to what?,6,bio
LCD is a general framework for convening people throughout a landscape to develop shared measures of success and what?,6,bio
What is enhanced by a history of inter-generational family tree farms?,6,bio
Who discussed the policy aspects of the rapidly growing practice of using collaborative landscape conservation to sustain the multiple values we place on working lands?,6,bio
"What are essential to the economic, social, and environmental vitality of the region?",6,bio
Who is hosting workshops throughout the coastal ecoregion of Oregon and Washington in order to understand local issues throughout the geography?,6,bio
"LCD is a process that is improved by transparent, stakeholder engagement approaches to solving complex problems over what scales?",6,bio
This project was conceptualized initially as a what?,6,bio
"there is a need to understand how changes in sea level, ocean acidification, population growth, and land use affect issues such as habitat distribution, loss and connectivity, species distribution, and what?",4,bio
What should not come from the legislature?,6,bio
What is the human population of the study area?,6,bio
The project was funded in part by a grant from the North Pacific Landscape Conservation Cooperative and in-kind contributions from who?,6,bio
"A few tools and frameworks exist that can be re-purposed for our process, for example the Ecotrust suite of what?",6,bio
What is a building block for the quality of life for the people in the northwest (and all) of Oregon?,6,bio
Development of a “scorecard” type tool that depicts landscape condition have been useful in what?,6,bio
Who facilitated the meeting?,6,bio
Who are asked to absorb the cost of higher food production that environmentally responsible practices require?,6,bio
there is a need to assess the impacts of landscape-scale or systems-level factors and stressors on management-relevant issues at smaller spatial scales and under what?,6,bio
There are a plethora of tools and associated data sets for understanding what?,7,bio
Discussions focused on finding ways to keep working lands working while maintaining what?,6,bio
What is not compliant with federal Coastal Non-Point Source Pollution Program requirements?,6,bio
"Inclusive processes advance social learning, and build trust and strong social networks that express societal choices, share resources, and co-produce what?",6,bio
Who talked about predicted key changes and stressors on working landscapes and conservation in the region over the next 50-75 years?,6,bio
"qualitative, normative aspects of decision-making have inspired movement toward what?",6,bio
"there is a need to integrate this information across ecosystem types, incorporating interactions between terrestrial, riverine, and what?",6,bio
This project designs for connectivity through partnerships in Oregon and Washington as well as local what?,6,bio
Boundaries are delimited by watershed boundaries rather than by ecoregion boundaries as defined by who?,6,bio
How can we assess the vulnerability of wetlands to impacts?,6,bio
data needs – where are corridor pinch points?,7,bio
Might improving matrix quality lead to higher conservation returns than manipulating the size and configuration of remnant patches for many of the species?,4,bio
how can we map ‘strategies’ over the landscape maps?,6,bio
Understanding of how to connect existing small projects and protected areas across the landscape to meet broader conservation goals.,6,bio
What do you see as your primary goals and objectives in managing and conserving land in Southwest Washington? (near term and 50-year outlook),6,bio
Maps of connectivity zones for wildlife,6,bio
Are existing wetland maps sufficient for guiding protection of a portfolio of different wetland types (representativeness)?,0,bio
"Planning across ecosystem types, e.g., terrestrial, hydrological, and estuarine/nearshore systems.",6,bio
"What are the best available data to plan for maintaining estuarine habitat diversity across regional scales (representativeness, adequacy)?",7,bio
Are there new oak mapping efforts in the region?,6,bio
"How can we identify estuarine areas that are high in species abundance, richness and contribute strongly to the broader population?",6,bio
"Do you have ideas or suggestions for how to overcome these impediments, particularly through collaborative engagement among stakeholders?",6,bio
how confidential will the OKN be? Will it respect the confidentiality agreements we already have in place?,6,bio
"once we produce maps, how can we know that people will use them?",6,bio
What are the scale hierarchies that are relevant for decision making?,6,bio
Do we need comprehensive plans looking at topics holistically across the landscape with diverse stakeholders?,6,bio
"How can we identify areas of high biological importance for a diversity of salmonid life history stages, abundance and productivity?",6,bio
"Agencies, conservation community, and the public need to understand financial burdens that come with growing/protecting certain habitat conditions – can we look for ways to help pay for this? Smarter buffers?",6,bio
is the desired amount of diversity adequately conserved throughout the ecoregion?,6,bio
Maps of priority places for conservation and restoration of all systems,6,bio
can we develop strategies for incorporating powerline corridors into the connectivity analysis and implementation?,6,bio
"maybe when it’s time to roll out the maps we can have the ‘customers’ host and present them; like state agencies, private landowners, ngos, user groups, etc.?",6,bio
For what species must we identify core areas and connectivity zones?,6,bio
Assessment of past and present condition of the broader landscape.,6,bio
"How can we get more tribal, ODFW, ODF involvement? how can we create (an) event(s) that will really engage tribes?",6,bio
"How can we talk about our sometimes very real differences in a way that is not divisive and antagonistic, but encourages respect?",6,bio
"For shorelines and other ecosystems, how can we “identify degraded areas, impaired ecological functions, and sites with potential for restoration”?",6,bio
Can we “Use existing data to assess the impacts of stressors on controlling factors to indicate ecosystem degradation? Measurable stressors to controlling factors affecting nearshore ecosystem structures and processes occur at a variety of scales from the watershed to the marine shoreline.”,7,bio
Maps of current landscape condition,6,bio
how do we sustain collaborations?,6,bio
"There is a paradigm shift happening in consumer attitudes towards their food, with increasing support for buying locally raised meat and locally grown produce, especially if it supports ecologically positive farming practices. How do we as individuals and organizations support this?",6,bio
What data would enable us to consider ecological representation across freshwater systems?,7,bio
How to assess key gaps in habitat connectivity?,6,bio
Planning for connectivity zones for wildlife.,6,bio
how can Oregon data be accessed by OKN to create a data set like what has been built up for Washington?,5,bio
Planning for ecosystem services in combination with species/habitat conservation.,6,bio
what impact will doubling human population have on the sustainability and resilience of the landscape?,6,bio
"Ecosystem services (carbon, fisheries, pollinators, water purification, timber, recreation, etc.) and their overlaps with species/habitat priorities",6,bio
Share success stories and interactions – can we integrate our information?,6,bio
do we take maps on tour? Do a webinar? Stimulate conversation?,6,bio
"New spatial models for particular conservation targets (species, habitat type). If selected, what species/habitat type?",6,bio
What are the stream flows and temperatures in rivers?,6,bio
"If estuarine habitat complexity and diversity are critical, what are the best available data for assessing them?",7,bio
Can we identify areas of high intrinsic potential (IP) for salmonid habitat?,6,bio
What values do you strongly hold for conservation and land management in Southwest Washington?,6,bio
Maps of priority places for conservation and restoration for estuarine/nearshore systems,6,bio
A spatial synthesis of threats across the landscape,6,bio
what opportunities are there for peer-to-peer learning across sub-regions about tourism?,6,bio
how can salmon restoration be incorporated into non-tribal culture (local land and water management practices; it’s happening in Yakama Valley!),4,bio
clearly a need for a ‘one-stop’ source for landowner incentive programs,6,bio
"Existing infrastructure that supports agriculture on river plains or tideland is aging and at risk. Tide gates are failing, rivers move, there is a constant need for fencing and road repair on farms, how do we address this?",6,bio
What are the important features/species that need to be conserved across the landscape?,6,bio
what’s the question(s) these maps are addressing?,6,bio
"Planning for the effects of climate change on priority habitats and species: sea-level rise, altered hydrological flows, and vegetation dynamics.",6,bio
Are there overlaps of biological/ecological targets and human well-being/ecosystem services?,6,bio
Understanding of priority core areas for species and/or habitats,6,bio
"Prioritization of strategies (what to do where): restoration, mitigation, protection, working landscapes, and “climate-smart” strategies.",6,bio
What are big impediments to managing and/or conserving land in Southwest Washington? (near term and 50-year outlook),6,bio
How can we incorporate multiple scales in planning?,6,bio
What are relative level of shoreline stress at the site and landscape scales?,6,bio
how can landscape maps contribute to decision making and implementation?,6,bio
"If larger tidal wetlands restoration sites are more able to become self-sustaining, how can we measure them?",6,bio
how will the intersection of climate change and human population change impact the landscape?,6,bio
"How is land use, resource management, and/or conservation important to the quality of life in Southwest Washington?",4,bio
Maps of priority places for conservation and restoration for terrestrial systems,6,bio
how do we build trust among stakeholders?,6,bio
New sea-level rise models for the entire geography,6,bio
Need: inheritance planning for small forest owners and farmers.,6,bio
How can we consider ecosystem services in prioritization of estuarine protection and restoration?,6,bio
What estuarine vulnerability assessments have been completed?,6,bio
Maps of priority places for conservation and restoration for freshwater systems,6,bio
"What are important areas for ecosystem services, working lands, species, and ecosystems?",6,bio
A spatial synthesis of existing climate change information,6,bio
"small landowners expressed their needs for opportunities for education, and also for meaningful incentives. (Incorporate ‘needs’ from the small forest owners workshops report that JA and others produced)",6,bio
Planning for the impacts to habitats and species from population increase and development.,6,bio
What are the attributes of oak climate refugia?,6,bio
How can we plan for hydrological connectivity of estuaries?,6,bio
Collaborative decision support tools for identifying priority places,6,bio
What is the process for integrating Beavers into floodplain restoration?,6,wq
Which culverts are already dry at low summer flows?,6,wq
How might the OKN SDS for WQ enhance the Salish sea Wiki?,6,wq
Are current forest practice regulations sufficient to protect water quality in streams?,4,wq
What are the conventional factors we monitor to assess water quality in the Puget Sound?,4,wq
What is the major source of uncertainty in Indicator Models?,6,wq
How much have water quality measures changed from their values under natural conditions?,4,wq
What is the cost of protecting/mitigating WQ/WQ impacts of full buildout?,6,wq
Does EPA have Water Quality Standards for all pollutants?,4,wq
What toxics in the water are affecting human health?,4,wq
"What are the science needs and uncertainties relative to policy/decision makers, implementers, the recovery planning processes and the Vital Signs.",6,wq
How do we understand the movement of pollutants in the Puget Sound?,6,wq
Does the current allocation approach protect the environment?,6,wq
"Concern is on water quality, but that is secondary to water flow.",4,wq
How can we avoid new sources of contaminants?,6,wq
How do we bring management of watersheds to the local level?,6,wq
We have to daylight uncertainties and assumptions and leaps in models.,6,wq
There is not enough funding available to meet the demands and needs of management and mitigation for water quantity and quality. How do we make the best use of the funds we have available to make the most progress?,4,wq
What are existing levels of DO in marine waters,6,wq
What contaminants in the water are affecting salmon?,4,wq
New approaches (timely and economical) to monitoring and response to threshold conditions,6,wq
What are projected conditions in the ocean and Puget Sound w climate change?,6,wq
How do Water timing and vulnerability of watersheds processes change under climate change?,4,wq
Wildfire in our forests is a concern for me.,6,wq
"How to Expand and revise legislative, legal, policy/ programs, and financial incentives that limit effective, equitable, and economical long term strategies and solutions to water quality.",4,wq
"What user-friendly, interactive information sharing opportunities are available for the public, policy, and management? Need a clearinghouse.",6,wq
How do levee setbacks improve floodplain function?,6,wq
How effective are microbial treatments in removing contaminants in wastewater? At what scale and cost,6,wq
"In what locations, widths,and condition do riparian buffers function to effectively protect WQ",6,wq
Can decision makers and agencies improve the Health of Puget Sound if the stakeholders are not onboard?,6,wq
How can we encourage people to avoid critical and dangerous areas?,6,wq
My concern is that the communication gaps are between stakeholders and agencies as well as agencies and decision makers.,6,wq
"How do we Identify, vet, and track the science needs and uncertainties?",6,wq
What forest harvest designs best facilitate snow accumulations and later melt?,6,wq
Research and monitoring needed to track changes in water quality in Puget Sound.,4,wq
What are barriers to communications between scientists and Management?,6,wq
What is the impact of CC-driven changes to glaciers on the Nooksack River basin?,6,wq
Does it make economic sense to extract Nitrogen from tertiary treatment plans?,6,wq
What drives Fecal Coliform contaminations?,6,wq
How do dams affect gravel flow in incising rivers?,6,wq
My concern is whether we have the water quantity flows and timing to support water quality at critical times of the year?,4,wq
Is an Omni Processor a viable option for basins in Puget Sound?,6,wq
"How does the availability and quality of  data, metadata, and models affect the generation of knowledge about water quality? What data is missing?",5,wq
A major concern is how pollutants impact the health of biota in the Puget Sound.,6,wq
What new technologies are available for reducing contaminants in wastewater. What are the issues with integrating them with existing facilities?,6,wq
How do you reconcile data  sets measured at very different scales?,1,wq
Is all change place-based?,6,wq
Where are the sources of FC in the Puget Sound?,6,wq
What is needed for a comprehensive resilience plan for a watershed under climate change?,6,wq
"How do contaminants affect the health of fish, humans and other biota in PS",6,wq
"Identify inconsistent and unclear language in existing codes, statutes and laws.",6,wq
Where are the biota that are affected by specific pollutants?,6,wq
What technologies enable us to map the world in detail and display it on portable devices?,6,wq
What are the components needed for a comprehensive simulation of water and sediment flow in the Nooksack river basin?,4,wq
What will be the future treatment capability needed to meet population growth.,6,wq
Who is affected by Fecal Coliform contamination?,6,wq
How do we leverage county authority for surface water management?,4,wq
How can transfer of development rights purchases help new farmers get started in locations where water quality is less impacted?,4,wq
What are threshold conditions in water flow or water quality that would require rapid deployment of mitigating actions?,4,wq
My concern regarding water quality in Puget Sound is Fecal Coliform,4,wq
How to stop road drainage systems and culverts from concentrating waterflow?,6,wq
What are the threshold amounts of exposure to chemical contaminants in people and fish?,6,wq
What changes to wastewater treatment would make a difference to water quality?,4,wq
How do current insurance policies for housing enable people to live in fire prone areas?,6,wq
How does a shellfish manager get a bed certified as approved for harvest?,6,wq
Identify gaps and inconsistencies in regulations across all levels of government,6,wq
Would it make a difference to have formal guidance on Land Use Planning and Integrated Water Management similar to the Low-Impact Development Guidance Manual.,4,wq
What are the legal avenues for controlling nonpoint sources of contamination?,6,wq
How do we address the changing probability of sediment producing geologic events (landslides) with projected hydrologic changes due to climate change?,6,wq
What levels and amount of exposure to contaminants affect salmon?,6,wq
Low dissolved oxygen (DO) levels in Puget Sound fresh and marine waters.,6,wq
What are the effects of high density development on key processes such as hydro?,6,wq
How do we apply principles of Product stewardship/Circular Economy?,6,wq
"One of the biggest challenges is to expand the decision space to the fullest extent possible under existing authorities, legislation, codes, and regulations to free up funding and collaboration for more strategic, multi-objective approaches to solving water quality/quantity issues.",4,wq
How do we manage the process of land conversion from wet floodplains to farms to warehouses?,6,wq
We all assume the highest and best use for the land is forestry; my concern is that current forest management practices dont sufficiently protect water quality and quantity.,4,wq
How easy is for evidence from WDFW to set more protective Water Quality Standards?,4,wq
Who is doing research on water quality in Puget Sound?,4,wq
How to get people to talk broadly about water usage?,4,wq
"What treatment methods and management practices, new approaches and technologies reduce contaminant loads in rivers and wastewater?",6,wq
Are we generating the knowledge we need to play the roles each citizen needs to play without intermediation?,6,wq
What is the current state of water quality and quantity in the Nooksack River?,4,wq
How do TMDLs affect beneficial uses of fish habitat and fish survival?,6,wq
How should we manage human waste?,6,wq
Identify ineffective and unequal regulatory outcomes,6,wq
Spending a lot of money and resources to achieve a small amount of additional WQ treatment at the expense of broader goals and more effective solutions,6,wq
Why are wildfires more dangerous now?,6,wq
How does a process-based analysis of water and sediment flows inform effective restoration decisions for WQ?,4,wq
Puget Sound biota are affected by poor water quality? Were losing the bottom of the food chain.,4,wq
What information and processes are needed to move politics to better protect WQ/WQ now and into the future?,6,wq
Where do you get transparent indicator models to evaluate the effects of projects?,6,wq
Can we mitigate/restore enough to meet Clean Water Act goals with the challenges of population growth?,4,wq
What funding and cooperative research opportunities are happening and needed?,6,wq
How does FC affect the management of shellfish beds?,6,wq
"How does the location, size of farm and crop selection affect water quality?",4,wq
My biggest concern regarding Water Quality in Puget Sound is how we are going to manage water into the future?,4,wq
"In the Puget Sound, where are the shellfish beds that  Fecal Coliform affects?",6,wq
How does the definition of natural conditions affect the implementation of the Washington Administrative Code addressing water quality standards?,4,wq
What are the sources of chemical contaminants?,6,wq
Can we sort out the effects of single water quality variables on salmon populations?,4,wq
What is the impact of different classes of contaminants on salmon life stages and instream biota?,6,wq
What are the health effects of each type of pollutant on biota in the Puget Sound?,6,wq
What trend data for water quality parameters is needed to estimate key indicators for salmon population,7,wq
How does tire dust in stormwater runoff affect salmon populations?,6,wq
"Are current regulatory programs robust enough to prevent loss of ecological functions including standards, permit review, exemptions, conditions/mitigation, enforcement, and monitoring?",6,wq
Where are culverts located in Puget Sound?,6,wq
"What research, data and models are needed to  improve water quality in Puget Sound?",7,wq
"How does the loss of glaciers affect water quantity, stream temperatures, and sediment dynamics?",4,wq
"How can the models, methods, data and results of water quality research be shared, compared, and replicated?",7,wq
My concern is that we have abundant habitat in the Puget Sound that is free of pollutants,6,wq
How do EPA Water Quality Standards regulate the presence of pollutants?,4,wq
Where are PCBs and other toxics distributed in PS?,6,wq
What are the regulations currently governing how water is allocated for use?,4,wq
How does working with US Army Corps Eng help restore water processes in the Skokomish basin?,4,wq
Who is researching treatment methods for contaminant removal from wastewater and surface water flows.,6,wq
How large is the impact of transpirational losses on instream flows during critical times?,6,wq
"How do we remove the barriers between Land Use Planning and Water Management, especially stormwater",4,wq
What unregulated contaminants need to be prioritized for monitoring and regulation?,6,wq
Where are the most effective places to locate flow sensors in a watershed?,6,wq
Where are biogas digesters most effective and economical for treating dairy waste and restaurant and grocery food waste. Is farm size a factor?,6,wq
"How do we change our narrow  understanding, definitions, and piecemeal approaches to addressing systemic water quality/quantity problems.",4,wq
What are the biological linkages between dissolved oxygen levels and habitat conditions for salmon.,6,wq
How do buffer widths change when 100 year site index tree heights based on old growth and mature riparian forest are evaluated as natural conditions for temperature TMDLs?,6,wq
What are key processes in the Puget Sounds that affect the flow of pollutants?,6,wq
How is nitrogen loading affecting primary productivity in marine waters? This impacts everything up the food chain and is throwing everything out of balance..,6,wq
How does acidification impact shellfish and the base of the food chain?,6,wq
How does working with USDA Forest Service  help restore water processes in the Skokomish basin?,4,wq
How does managements interpretation of regulations lead to information being ignored?,6,wq
How can financial incentives be developed that bring new partnerships and creative approaches to reduce water quality impacts and improve treatment?,4,wq
How do we get the agencies to push the limits of their jurisdictional box for better integration and greater effectiveness in protecting water quality.,4,wq
How do engineered logjams help restore natural gravel conditions in the river?,6,wq
How does climate change affect temperature TMDLs?,6,wq
How should we locate restoration projects under climate change?,6,wq
How important is organic carbon data and is it available?,7,wq
How would beneficial uses be measured? What water quality parameters would be useful?,4,wq
"How to find out about and leverage work done by, and share our own work with, other tribes to restore water processes?",4,wq
Can we take the asset management approach to stormwater facilities and apply that to habitat and systems of habitat?,6,wq
How do create better 3rd level programs to educate watershed designers?,6,wq
"How is FC in shellfish beds assessed, monitored and regulated?",6,wq
What are the projected ranges of flows under different future scenarios.,0,wq
What is the rate of acidification?,6,wq
My concern with Water Quality is chemical contaminants coming down streams and pipes.,4,wq
What water quality standards and target discharge levels we should be aiming for?,4,wq
How much have current stream flow measures changed in the Nooksack River Basin from their values under natural conditions?,6,wq
What are examples of projects in the Puget Sound?,6,wq
What sediment data and modeling from rivers is needed?,7,wq
Can a watershed services exchange provide an economic incentive to support forest management that increases water supply?,4,wq
Where are pollutants distributed in the Puget Sound?,6,wq
Who researches and models contaminants in the waters of the Puget Sound?,6,wq
My biggest concern regarding water quality in Puget Sound relates to water quantity; that people treat stream flow and water quality as separate realms.,4,wq
Restoring water processes in the Skokomish basin is a concern of the Skokomish Indian Tribe.,4,wq
How do we present information so that it leads to action that help us achieve our restoration goals?,6,wq
How is water quality regulated?,4,wq
How to extrapolate the Buildable Lands Analysis  beyond its jurisdiction areas to the whole landscape?,6,wq
A question that addresses that concern is how do we make communication between scientists and management better?,6,wq
My biggest concern regarding Water Quality in Puget Sound is the disconnect between management and science.,4,wq
"What management options and new technologies offer cost effective reduction of nutrient and contaminant discharges,",6,wq
What is the current status and trends in shellfish populations?,6,wq
How much of low dissolved oxygen issues are due to human activity? How much by wastewater treatment facilities?,6,wq
What is the range of depths of the hyporheic exchange zone in the Nooksack floodplain?,6,wq
My concern for Water Quality is ocean acidification.,4,wq
How do we gather the data we need for watershed design?,7,wq
Who are experts on contaminants in sediment?,6,wq
Can wastewater treatment upgrades incorporate new approaches and technologies economically and effectively,6,wq
How does working with Tacoma Public Utility which controls the Cushman hydropower Dam help restore water processes?,4,wq
What are the sources of contaminant discharges to fresh and marine waters in Puget Sound?,6,wq
What types of pollutants are found in the Puget Sound?,6,wq
How did the WA legislature respond to the Hirst decision?,6,wq
Are managers expecting this OKN to help bridge the communication gap with scientists?,6,wq
How does the historic planform of the river affect the amount of shading under natural conditions?,6,wq
"What oxygen levels affect fish physiology, in which ways and at what levels?",6,wq
What is nutrient trading and how can it help reduce inputs? Who is involved?,6,wq
What is the age and condition of existing wastewater treatment facilities across Puget Sound.,6,wq
"How do we get to more multi-objective, strategic and system-wide solutions and approaches to water qual/quan issues?",4,wq
How to estimate “High Pulse Counts” using predictive hydro models?,6,wq
How to simulate the effects of mid scale projects in Puget Sound watersheds using an SDS system?,6,wq
"How to remove inconsistencies in application of codes, statutes and laws that create inequalities and pass water quality/quantity problems to downstream users.",4,wq
"What is the recovery strategy for  fragmented and degraded drainages now and in the context of future change, both climate and population?",6,wq
What are the political and policy challenges to effective forest regulations to protect water quality..,4,wq
How to better estimate the effects of groundwater offset projects proposed under Streams Restoration law?,6,wq
How does FEMA Community Rating System interface most effectively with other floodplain uses such as habitat restoration or agriculture?,6,wq
How are and ocean acidification being monitored and modeled?,6,wq
How do we empower schools to educate young people to understand watersheds?,6,wq
How do we better protect existing lands given population pressure on local governments and advances in transportation allowing suburban growth,6,wq
What challenges exist for effective policy and regulation of sources of FC?,6,wq
How do population trends of fish and zooplankton correlate to ocean acidification?,6,wq
Are there financial incentives that can make up for revenue a local government would receive from development/zoning changes? Is there political will to protect for the future and not pass costs on?,6,wq
How are we going to manage water into the future?,4,wq
What are sources of contaminants in the Puget Sound?,6,wq
"High instream water temperatures due to low summer flows and lack of shade,  particularly in Snoqualmie Valley",4,wq
How to prioritize culvert replacements when you dont have enough money and conditions are going to change?,6,wq
How does the resolution of data and models match the scale of questions?,7,wq
How is the Skokomish Tribe restoring water processes in the Skokomish basin?,4,wq
How can we retrofit existing authorities and cash flows and mechanisms so that they function in coordination within a place?,6,wq
How to leverage funding and cooperation to improve water quantity/quality,4,wq
What contaminants are found in Puget Sound and the Snohomish River?,6,wq
What alternative strategies are there for rapid to near- to long term mitigation of threshold conditions? Go big or go home; Go small and  repair/replace,6,wq
How do wildfires affect WQ in the Puget Sound?,6,wq
Can we build Stormwater infrastructure that is affordable and effective at mitigating future flow issues?,6,wq
